"artist","title","slug","form","desc","imgur","url","website","instagram","twitter","facebook"
"kris hillquist","Everything Glitched","everything-glitched","talk demo","I woke up one morning and everything had glitched.  This work is an audio-visual response to the Covid 19 lockdown.  Deliberately repetitive and at times off-key, the work expresses the unease of this time.","wjL1nZC","http://doc.gold.ac.uk/compartsblog/index.php/work/15622/","","Kris Cirkuit","","kris.cirkuit.7"
"Romain Biros","Murmur, Swoosh, Retch","murmur-swoosh-retch","video","Romain Biros and Hannah Corrie in collaboration with Mass Hysteria created a performance for Deptford Moving Image festival. The visual effects consist of revisiting the cinematographic processes of slit-scanning and image repetition using advanced software and hardware programming.","6o7F6zU","https://www.youtube.com/watch?v=IU3OLalSrRg","","picofrom","",""
"Felix Loftus","My Bitrot, Gutweed Breath","my-bitrot-gutweed-breath","talk/demo","an auto-ethnographical interactive audio installation developed from my research of Alexis Pauline Gumbs’ philosophy of breath. The sonic environment of the installation is an idea of how I breathe digitally, with you.","iiAEtFC","http://doc.gold.ac.uk/compartsblog/index.php/work/my-bitrot-gut-weed-breath/","","peti_filou","",""
"Callum Fowler","a human and a computer","a-human-and-a-computer","performance","This performance is a human-computer collaboration. The human improvises on an electric guitar, whilst the computer generates a response using MaxMSP, resulting in a sound collage. The piece focuses on aspects of generative audio and human-computer interaction.","tNdbnMe","","","motivated_sloth","",""
"Hazel Ryan","Boundary","boundary","talk demo","Boundary​ is an audiovisual piece exploring sonification of visual information, and affect in  interactive media. It consists of an interactive 3D environment and a Max application to drive the sound, communicating via OSC messaging.","HZBffPR","https://capitolhmr.itch.io/boundary","","","",""
"Oliver Schilke","Reciprocal","reciprocal","video","Reciprocal is a live performance experience using a cello and live electronics to create a singular augmented instrument in sensory immersion. The bow for a cellist is an extension of their arm. The movement of this relation is used as a controller for the audio synthesis.","CbwSQQM","","","____scho","",""
"Chloe Karnezi","Cash Cow","cash-cow","talk demo","‘Cash Cow’ is an audiovisual performance piece aimed at raising awareness about the treatment of cattle and other non-human animals in the context of industrial animal farming. The audio used is the poem/song ‘The Revolution Will Not Be Televised’ by American poet and jazz musician Gil Scott-Heron.","v9Z9WaE","https://www.youtube.com/watch?v=Xg2t7Hz7AIM","","","",""
"Christina Karpodini","""Οικολογία"" (ecologia)","oikologia-ecologia","performance","“Ecologia” is a piece dedicated, as the title describes, to ecology, it reflects on humans improvident plastic waste and it creates an imaginary soundscape by sonifing the image of all land fields of earth bulging with plastics.","PHdN4ck","https://ckarpodini.wixsite.com/christinakarpodini/composition-for-media","https://ckarpodini.wixsite.com/christinakarpodini","christikarp","",""
"Jingyi Chen","The heart of the cosmos","the-heart-of-the-cosmos","Video of the work + Q&A","The exploration of the combination of biology and astronomy.","57R5FbF","https://imgur.com/57R5FbF","","jingyichen_cn","",""
"Chloe Karnezi","A Rose is a Rose is a Rose","a-rose-is-a-rose-is-a-rose","Talk / Demo + Q&A","This project is a 3D visualisation of different rose shapes, based on the geometrical concept of the Maurer Rose by Peter M. Maurer. The title of this project was inspired by Gertrude Stein’s 1913 poem titled ""Sacred Emily,"" which contains the famous verse, ""Rose is a rose is a rose is a rose.""","ClKD5Fe","https://www.youtube.com/watch?v=8Ef4JzkuAWw","","","",""
"Yanyi Lu","Replica","replica","Video of the work + Q&A","This artwork will tell a story of my digital plant and I in a cyberpunk way. I raised some questions based on the semiotics of plant and human and started my project with these. Can I keep my dying plants forever? Can I be my plant, and can we be together?","BpZduNK","https://yanyilu.wordpress.com/2020/05/14/replica/","https://yanyilu.wordpress.com/","yanyiiscoding","",""
"Jude Marcella","The Snow Globe","the-snow-globe","Talk / Demo + Q&A","A diorama","ocbg23V","http://doc.gold.ac.uk/compartsblog/index.php/work/the-snow-globe-a-critical-reengagement-with-onscreen-life/","https://www.judemarcella.com/","meminine","",""
"Jingyi Chen","CyKink","cykink","Video of the work + Q&A","3D abstract interactive program. Inspired by high-dimensional spaceship in a sci-fi fiction.","owEqLbx","https://vimeo.com/415905371","","jingyichen_cn","",""
"Elli Koliniati","Inside Us - A VR experience","inside-us-a-vr-experience","Video of the work + Q&A","""Inside Us"" is a VR experience of the internal workings of an organism. You float around inside an infected body while blood cells flow around you as well. You are able to see some corona viruses and bacilles as well, each of which are programmed to move according to a certain flocking behaviour.","wgkEfTW","https://www.youtube.com/watch?v=53_L-o-ADSM","","ell_.k","",""
"Mattia Spagnuolo","#andratuttobene","andratuttobene","Video of the work + Q&A","#andratuttobene is an interactive installation that conveys the solidarity and positivity of the Italian people in response to the COVID-19 pandemic.
The work consists of an ever-fluctuating Italian flag whose revolutions can be controlled through gyroscope data sent as OSC messages over Wi-Fi.","8iuSeut","https://www.mattiaspagnuolo.com/works/andratuttobene","https://www.mattiaspagnuolo.com/","mattia_spagnuolo","",""
"Agnes, Yuhyeon Jun","Wave Scape in Lake","wave-scape-in-lake","Talk / Demo + Q&A","It represents 'Acoustic harmony of multispecies' such as goose and ducks in Lake as an aspect of the biodiversity in nature. It goes through 'how they live together' by generative waves with 'Binaural Spatial Sound'. As a musical, I perform with species and generate audiovisual art on my movement.","XLNgaIE","https://www.joyfulmediaartistagnes.com/work/wave-scape","https://www.joyfulmediaartistagnes.com/","joyfulmediaartist","",""
"Yishuai Zhang","Translucence","translucence","Talk / Demo + Q&A","“Translucence” is a virtual space constructed from various embodiments of my fragmented memories, taking the form of poetry, sculpture, still image, video clips, and animations. The visitor becomes a thread that connects these different elements by controlling an invisible avatar in the space.","LX3DQUS","http://zhangyishuai.com/translusence.html","http://zhangyishuai.com","daven_zhang","ai_yishu","ZhangYishuaiStudio"
"Romain Biros","Work In Progress","work-in-progress","Video of the work + Q&A","","","","","","",""
"Andrew Chang","I am my sex slave","i-am-my-sex-slave","Video of the work + Q&A","I am my sex slave is focusing on the process of produce a virtual body by different 3D scanning platforms and techniques, exploring the possibility of our identity development without the restriction of the physical body in the real-world.","odwTEFb","https://www.andrewtw.com/post-bs4ix/_______________i-am-my-sex-slave_______________","https://www.andrewtw.com/","chia_yang.tw","",""
"Karen Okpoti","Symbiosis","symbiosis","Video of the work + Q&A","Symbiosis is a piece which explores the parasitic and mutualistic relationships between the  plant and animal kingdom in the form of a 3D simulation. All three kingdoms rely on each other for food, growth and survival.","eFnGlqC","","","kazxart","",""
"Keir Clyne","_dampMap","dampmap","Talk / Demo + Q&A","_dampMap is a browser based generative program which visualises how nations might form in outerspace.","k8O45y8","","","keirclyne","_dampGrass",""
"Yanyi Lu","The Obscure: Mourning The Lost Art","the-obscure-mourning-the-lost-art","Video of the work + Q&A","People are always talking about certain famous paintings that are carefully hung in the museums. However, some same important artworks have vanished forever from human history by some sad reasons. From this moment on, we lost it forever and never feel it without heavily dusty fog.","rPrWBc8","https://yanyilu.wordpress.com/2020/05/14/the-obscure/","https://yanyilu.wordpress.com/","yanyiiscoding","",""
"Anna","Data characters","data-characters","Talk / Demo + Q&A","My interests was in exploring datasets as active participant in the creative process. If data structures come with pre-embedded stories or stories seeds I wanted to give it form that would encourage the process of getting to know each other.","Dyc2BmZ","","","alfutka","",""
"Gerolamo Gnecchi Ruscone","For the Tide!","for-the-tide","Talk / Demo + Q&A","This project is a first step to understand the Thames Tide ecosystem and pave new horizons in designing with the Tide.","wnL0KYX","https://issuu.com/gerolamognecchi/docs/the_tide","","","",""
"Mattia Spagnuolo","#iorestoacasa","iorestoacasa","Video of the work + Q&A","#iorestoacasa is a virtual artefact that visualizes data relative to the COVID-19 pandemic in the form of a particle system. The most relevant data about the virus outbreak is mapped to variables that modify the shape and color of the system.","nZUXbtL","https://www.mattiaspagnuolo.com/works/iorestoacasa","https://www.mattiaspagnuolo.com/","mattia_spagnuolo","",""
"Katie Tindle","Drips","drips","Talk / Demo + Q&A","Drips is the product of a research project into biosensing (self tracking health data) as a practice, and reflective writing as a creative research technique.","7dZTLCr","http://doc.gold.ac.uk/compartsblog/index.php/work/motivation-menstrual-biosensing-as-identity-construction/","https://cargocollective.com/katietindle/Home","ktwindmill","",""
"Alesandra Miro Quesada","Creating with Machine Learning","creating-with-machine-learning","Talk / Demo + Q&A","In this presentation I am going to talk about my approach to creative computing using different Neural Networks in Machine Learning. There are two pieces that I will be taking about, the first is a disobedient installation and the second a computational clone.","3b2bhSyh","http://doc.gold.ac.uk/compartsblog/index.php/work/congressional-scandal-generator/","https://www.bgrandpa.com/","bad.grandpa","",""
"Veera Jussila","Postcards from Lost Cities","postcards-from-lost-cities","Talk / Demo + Q&A","Deep learning postcards from tourism destinations hit by the Covid-19 pandemic, capturing the feelings of loss and uncertainty. Coded with PyTorch and TensorFlow in Python. RunwayML used for AttnGAN.","4MHm0Ft","https://www.veerajussila.com/code-and-art/postcards-from-lost-cities","https://www.veerajussila.com","veeraidaj","JussilaVeera","veera.jussila"
"Camila Colussi","WordsOfRebellion","wordsofrebellion","Video of the work + Q&A","Collection and transcription of protest posters that crossed the streets of Chile (2019-20). While being abroad, social networks has been my main access to those images. This proposal is an attempt to build a story mediated by the digital platform as a narrative, sensitive and knowledge source.","1lAVRpr","https://www.camilacolussi.com/wordsofrebellion","https://www.camilacolussi.com","camilacolussi","",""
"Yasmine Boudiaf","Algerian Hand Gestures","algerian-hand-gestures","Video of the work + Q&A","This interactive project uses a camera to detect hand gestures and a speaker to produce corresponding verbal sounds.","lvV8XRc","https://www.yasmine-boudiaf.com/#/algerian-hand-gestures/","https://www.yasmine-boudiaf.com/","","YasmineBoudiaf",""
"Jakob Jennerholm Hammar","Weaving Drafts at the Edge of the Abyss","weaving-drafts-at-the-edge-of-the-abyss","Talk / Demo + Q&A","A series of experimental explorations into digital weaving drafts/notation. The project is founded on a series of vague questions about time, nature, relationality and pattern-making which are engaged with through the creation of generative and interactive digital and physical weaving drafts.","Z84HQD1","https://jennerholmhammar.info/project/weaving-drafts/","https://jennerholmhammar.info","knoegle","",""
"Hazel Ryan","Middle Ground","middle-ground","Video of the work + Q&A","This is an experimentation with semi-structured gamelike formats and mining the uncanny through play. It’s a futile chase around memories and terrors, or otherwise a meditation on change, or otherwise a collection of vignettes. The ‘middle ground’ here is that between remembering and letting go, fearing and desiring, seeking and escaping.","fnylqMf","https://capitolhmr.itch.io/middle-ground","","","",""
"David R. Mincer","Laughing in the Face of Death","laughing-in-the-face-of-death","Video of the work + Q&A","In a world under lockdown, how is a young comedian supposed to get a break? Join David R. Mincer in the weird virtual world of his mind as he tries to put on a good show, all while fighting with his own existential struggles.","SxiXn4g","https://davidrmincer.itch.io/","https://davidrmincer.wordpress.com/","davidrmincer","davidrmincer",""
"Marcus Ansley","The Best Days","the-best-days","Video of the work + Q&A","The Best Days is a game about student life and mental upkeep. It’s about pushing forward through the days and nights while attempting to stay healthy and sane. It’s a game about the invisible hours spent toiling away in a room without company. These are, in short, the best days of your life.","5WrhVIE","https://marcusansley.com/2020/05/21/the-best-days/","https://marcusansley.com/","","MAnsley_",""
"Owen Planchart","Pyrophonic","pyrophonic","Video of the work + Q&A","Pyrophonic is a prototype for an installation exploring the connection between, sound, fire and ritual. It uses Max, Arduino and Unity to create a semi-intelligible cacophony of religious chants and cultural symbols turned into morphing particle systems, that are triggered by candles.","0sFcQay","","","owenplanchart","",""
"Clemence Debaig","Is It Getting Better?","is-it-getting-better","Talk / Demo + Q&A","This kinetic sculpture changes its shape depending on the latest COVID19 data in the UK. It automatically interrogates an online data source once per day. Its two states (better / worse) aims at simplifying the understanding of the data and go against the current information overload.","ktdTEc8","http://www.clemencedebaig.com/art-dance#/is-it-getting-better-kinetic-sculpture/","http://www.clemencedebaig.com/","demzou_art","clemencedebaig","demzouart"
"Jonny Fuller-Rowell","Performing Objects","performing-objects","Talk / Demo + Q&A","This project finds ways to consciously interact with technological objects, becoming performers of the space rather than just the context to it. A ESP32 feather board and an orientation sensor attached to my wrist send data via OSC to a MAX MSP program, controlling the sounds of objects.","dT4Iqt6","http://doc.gold.ac.uk/compartsblog/index.php/work/background-relations/","","","",""
"Julian Burgess","JESTLED","jestled","Talk / Demo + Q&A","JESTLED is experiment in bridging the real world to virtual reality. Oculus Quest controllers are used to conduct a display of vibrant colourful lights along a strip of LEDs.","BSr94sk","https://aubergene.com/jestled/","https://aubergene.com","aubergene","aubergene",""
"Christina Karpodini","Detuned piano","detuned-piano","Video of the work + Q&A","Detuned piano is an audio&light interactive installation. It is aiming to reflect the impact of the misleading information we find on the Internet and the impact of them on the mental health of people.","fFqqtuP","https://ckarpodini.wixsite.com/christinakarpodini/detuned-piano","https://ckarpodini.wixsite.com/christinakarpodini","christikarp","",""
"Veera Jussila","A Magical AI Angle","a-magical-ai-angle","Talk / Demo + Q&A","A prototype for the sonic part of an interactive installation. The piece takes viewer to an insecure AI oracle that reads aloud predictions about its own future. The name comes from one of the phrases in AI predictions. Built with MaxMSP,  Arduino and a text generation RNN in Tensorflow.","UsXvov6","https://www.veerajussila.com/code-and-art/a-magical-ai-angle","https://www.veerajussila.com","veeraidaj","JussilaVeera","veera.jussila"
"Alex J. Fordery","""The Usual""","the-usual","Talk / Demo + Q&A","Intrsopective narrative game, exploring the life of a bartender working through quarantine.","m0LrOnb","https://alexjfordery.itch.io/","","alexjforery","alexjfordery",""
"Owen Planchart","The Unbearable Lightness of Mixed Signals","the-unbearable-lightness-of-mixed-signals","Video of the work + Q&A","A work-in progress disobedient chandelier that floats in space and reacts to group dynamics, exploring the themes of affective dissonance and vibrant materialism.","Pw6wdo5","","","owenplanchart","",""
"Clemence Debaig","STRINGS","strings","PErformance","In this live-streamed performance, the audience has to collectively decide how the dancer should move through a web interface. The dancer is wearing electronic devices that react to their actions. Each instruction acts as invisible strings to (re)animate a living and dancing body.","2ZwYrFB","http://www.clemencedebaig.com/art-dance#/strings-livestreamed-interactive-performance/","http://www.clemencedebaig.com/","demzou_art","clemencedebaig","demzouart"
